%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
35.0, 1076525.625, 1197055.5, -785389.5, 72102.615234375, -907455.1875, -524494.734375, 405591.890625, 257909.4375, 0.10400000214576721, 0.9340000152587891, 0.18400001525878906, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661153E9, 2020-11-13 03:54:34.166
36.0, 1081727.4375, 1193515.5, -699872.0625, 83603.390625, -848115.09375, -523279.171875, 418898.859375, 256356.984375, 0.10400000214576721, 0.9340000152587891, 0.18400001525878906, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661177E9, 2020-11-13 03:54:34.166
37.0, 1072030.21875, 1191833.25, -731225.484375, 68042.28515625, -881608.40625, -530411.15625, 404955.140625, 251765.578125, 0.10400000214576721, 0.9340000152587891, 0.18400001525878906, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661196E9, 2020-11-13 03:54:34.166
38.0, 1065276.9375, 1194839.4375, -821585.90625, 53889.873046875, -946158.9375, -533124.46875, 389328.046875, 252213.4921875, 0.10000000149011612, 0.9360000491142273, 0.19200000166893005, 192.0, 3.0, 32.0, 29.0, 64.0, 6.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661215E9, 2020-11-13 03:54:34.166
39.0, 1074203.34375, 1197007.78125, -801537.46875, 67820.197265625, -920573.90625, -526241.953125, 401616.328125, 257053.8046875, 0.10000000149011612, 0.9360000491142273, 0.19200000166893005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661232E9, 2020-11-13 03:54:34.166
40.0, 1081833.65625, 1193949.46875, -709771.03125, 82963.951171875, -854115.75, -523197.65625, 418123.171875, 256800.609375, 0.10000000149011612, 0.9360000491142273, 0.19200000166893005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661253E9, 2020-11-13 03:54:34.166
41.0, 1074415.21875, 1191369.1875, -716482.453125, 71499.650390625, -869728.3125, -529553.390625, 408520.875, 252066.515625, 0.10000000149011612, 0.9360000491142273, 0.19200000166893005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661267E9, 2020-11-13 03:54:34.166
42.0, 1065870.28125, 1194256.875, -809434.96875, 54933.791015625, -938589.75, -533355.140625, 390724.921875, 251850.328125, 0.10000000149011612, 0.9360000491142273, 0.19200000166893005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661289E9, 2020-11-13 03:54:34.166
43.0, 1072345.125, 1197378.46875, -815019.28125, 64294.166015625, -932036.625, -527508.46875, 398031.28125, 256638.609375, 0.10000000149011612, 0.9360000491142273, 0.19200000166893005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661305E9, 2020-11-13 03:54:34.166
44.0, 1081506.46875, 1194911.34375, -722657.4375, 81940.95703125, -862523.90625, -523136.484375, 416505.796875, 257408.390625, 0.10000000149011612, 0.9360000491142273, 0.19200000166893005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6052576741661325E9, 2020-11-13 03:54:34.166
